Measurement time,Year,Month,WaterYear,TWtrQuadraLimpetQ_level,TWtrQuadraLimpetQ_flags,TWtrQuadraLimpetUNESCO_Q_level,TWtrQuadraLimpet,TWtrQuadraLimpetMed,TWtrQuadraLimpetAvg,TWtrQuadraLimpetMin,TWtrQuadraLimpetMax
2015-12-12 02:00:00,2015,Dec,2015-2016,1,,2,9.162236,9.134867,9.14076275,9.121678,9.162236
2015-12-12 03:00:00,2015,Dec,2015-2016,1,,2,9.18272,9.1691195,9.17119466666667,9.164515,9.18272
2015-12-12 04:00:00,2015,Dec,2015-2016,1,,2,9.146133,9.170082,9.16443183333333,9.143141,9.183023
2015-12-12 05:00:00,2015,Dec,2015-2016,1,,2,9.13342,9.13773,9.13856533333333,9.131478,9.146522
2015-12-12 06:00:00,2015,Dec,2015-2016,1,,2,9.119697,9.1252595,9.12466558333333,9.116282,9.13379
2015-12-12 07:00:00,2015,Dec,2015-2016,1,,2,9.138599,9.12835,9.12837125,9.11971,9.138599
2015-12-12 08:00:00,2015,Dec,2015-2016,1,,2,9.13384,9.133837,9.134329,9.1312,9.138993
2015-12-12 09:00:00,2015,Dec,2015-2016,1,,2,9.096019,9.124771,9.121098,9.096019,9.13348
2015-12-12 10:00:00,2015,Dec,2015-2016,1,,2,9.021452,9.0432175,9.04598716666667,9.015589,9.076549
2015-12-12 11:00:00,2015,Dec,2015-2016,1,,2,9.029699,9.025467,9.0234395,9.010793,9.033547
2015-12-12 12:00:00,2015,Dec,2015-2016,1,,2,9.061072,9.0487025,9.04295775,9.021844,9.061072
2015-12-12 13:00:00,2015,Dec,2015-2016,1,,2,9.067998,9.067813,9.06621133333333,9.054219,9.069975
2015-12-12 14:00:00,2015,Dec,2015-2016,1,,2,9.075582,9.077296,9.07740083333333,9.065661,9.086155
2015-12-12 15:00:00,2015,Dec,2015-2016,1,,2,9.051408,9.056096,9.05798316666666,9.051408,9.068521
2015-12-12 16:00:00,2015,Dec,2015-2016,1,,2,9.047139,9.0489895,9.04918141666667,9.046693,9.053931
2015-12-12 17:00:00,2015,Dec,2015-2016,1,,2,9.047389,9.0413395,9.040766,9.035337,9.047389
2015-12-12 18:00:00,2015,Dec,2015-2016,1,,2,9.095886,9.0840335,9.07811625,9.03795,9.095886
2015-12-12 19:00:00,2015,Dec,2015-2016,1,,2,9.089484,9.0969435,9.09568241666667,9.089484,9.100215
2015-12-12 20:00:00,2015,Dec,2015-2016,1,,2,9.113469,9.1120505,9.10840216666667,9.088072,9.113469
2015-12-12 21:00:00,2015,Dec,2015-2016,1,,2,9.100204,9.097562,9.09397716666667,9.070441,9.112319
2015-12-12 22:00:00,2015,Dec,2015-2016,1,,2,9.079763,9.10632,9.104097,9.079763,9.110098
2015-12-12 23:00:00,2015,Dec,2015-2016,1,,2,9.111934,9.085145,9.08703583333333,9.064366,9.111934
2015-12-13 00:00:00,2015,Dec,2015-2016,1,,2,9.100623,9.100916,9.1018205,9.097762,9.110015
2015-12-13 01:00:00,2015,Dec,2015-2016,1,,2,9.097421,9.09807,9.09892633333333,9.096965,9.105933
2015-12-13 02:00:00,2015,Dec,2015-2016,1,,2,9.135937,9.1156175,9.11670775,9.099335,9.135937
2015-12-13 03:00:00,2015,Dec,2015-2016,1,,2,9.087773,9.093541,9.0990245,9.087773,9.134151
2015-12-13 04:00:00,2015,Dec,2015-2016,1,,2,9.095319,9.0855905,9.0840985,9.067167,9.095387
2015-12-13 05:00:00,2015,Dec,2015-2016,1,,2,9.094016,9.0949365,9.09984458333333,9.090077,9.115439
2015-12-13 06:00:00,2015,Dec,2015-2016,1,,2,9.119753,9.0823795,9.08945641666667,9.074695,9.119753
2015-12-13 07:00:00,2015,Dec,2015-2016,1,,2,9.11915,9.1224305,9.12288958333333,9.11915,9.127859
2015-12-13 08:00:00,2015,Dec,2015-2016,1,,2,9.145598,9.1159035,9.126493,9.111007,9.146432
2015-12-13 09:00:00,2015,Dec,2015-2016,1,,2,9.124859,9.125601,9.13022525,9.12347,9.144697
2015-12-13 10:00:00,2015,Dec,2015-2016,1,,2,9.149194,9.1408255,9.133161,9.112995,9.149194
2015-12-13 11:00:00,2015,Dec,2015-2016,1,,2,9.139647,9.152545,9.15090925,9.139647,9.155898
2015-12-13 12:00:00,2015,Dec,2015-2016,1,,2,9.113516,9.119379,9.12275375,9.113516,9.13969
2015-12-13 13:00:00,2015,Dec,2015-2016,1,,2,9.105091,9.10967,9.11026991666666,9.105091,9.114966
2015-12-13 14:00:00,2015,Dec,2015-2016,1,,2,9.1144,9.10885,9.10809025,9.096974,9.11809
2015-12-13 15:00:00,2015,Dec,2015-2016,1,,2,9.144592,9.1163675,9.12085708333333,9.113479,9.144592
2015-12-13 16:00:00,2015,Dec,2015-2016,1,,2,9.143134,9.150324,9.14851066666667,9.14178,9.151316
2015-12-13 17:00:00,2015,Dec,2015-2016,1,,2,9.163087,9.1502175,9.15184791666667,9.138418,9.16556
2015-12-13 18:00:00,2015,Dec,2015-2016,1,,2,9.136251,9.1487065,9.14780508333333,9.136251,9.158391
2015-12-13 19:00:00,2015,Dec,2015-2016,1,,2,9.148088,9.1534385,9.15074366666667,9.140176,9.155229
2015-12-13 20:00:00,2015,Dec,2015-2016,1,,2,9.164996,9.139967,9.1425165,9.130105,9.164996
2015-12-13 21:00:00,2015,Dec,2015-2016,1,,2,9.167693,9.1719595,9.171006,9.163692,9.176777
2015-12-13 22:00:00,2015,Dec,2015-2016,1,,2,9.145961,9.1570825,9.15621125,9.143693,9.166988
2015-12-13 23:00:00,2015,Dec,2015-2016,1,,2,9.130033,9.1356785,9.13911966666667,9.130033,9.153726
2015-12-14 00:00:00,2015,Dec,2015-2016,1,,2,9.15024,9.137397,9.13863575,9.129053,9.150632
2015-12-14 01:00:00,2015,Dec,2015-2016,1,,2,9.147065,9.149093,9.14914975,9.14646,9.15286
2015-12-14 02:00:00,2015,Dec,2015-2016,1,,2,9.147863,9.1465355,9.1467165,9.14515,9.149363
2015-12-14 03:00:00,2015,Dec,2015-2016,1,,2,9.128408,9.138176,9.13804683333333,9.128408,9.147329
2015-12-14 04:00:00,2015,Dec,2015-2016,1,,2,9.124681,9.1285265,9.12862958333333,9.124681,9.132401
2015-12-14 05:00:00,2015,Dec,2015-2016,1,,2,9.122911,9.1238735,9.12367716666667,9.121194,9.126966
2015-12-14 06:00:00,2015,Dec,2015-2016,1,,2,9.115278,9.1193765,9.1196745,9.115278,9.124572
2015-12-14 07:00:00,2015,Dec,2015-2016,1,,2,9.113223,9.119608,9.11904758333333,9.108532,9.128102
2015-12-14 08:00:00,2015,Dec,2015-2016,1,,2,9.121735,9.12215,9.12201566666667,9.114614,9.124663
2015-12-14 09:00:00,2015,Dec,2015-2016,1,,2,9.099794,9.1205945,9.11273025,9.092423,9.125261
2015-12-14 10:00:00,2015,Dec,2015-2016,1,,2,9.112715,9.1264775,9.12596075,9.095951,9.152574
2015-12-14 11:00:00,2015,Dec,2015-2016,1,,2,9.128012,9.1254205,9.12453625,9.11131,9.130383
2015-12-14 12:00:00,2015,Dec,2015-2016,1,,2,9.122416,9.1221145,9.12214966666667,9.111304,9.128034
2015-12-14 13:00:00,2015,Dec,2015-2016,1,,2,9.09349,9.1095575,9.10666725,9.09349,9.121099
2015-12-14 14:00:00,2015,Dec,2015-2016,1,,2,9.083843,9.0904375,9.09235091666667,9.083843,9.103913
2015-12-14 15:00:00,2015,Dec,2015-2016,1,,2,9.122564,9.1209785,9.11016583333333,9.081928,9.123363
2015-12-14 16:00:00,2015,Dec,2015-2016,1,,2,9.068583,9.0749945,9.08571,9.057576,9.121738
2015-12-14 17:00:00,2015,Dec,2015-2016,1,,2,9.035368,9.1148565,9.100039,9.035368,9.117438
2015-12-14 18:00:00,2015,Dec,2015-2016,1,,2,8.997988,8.9834635,8.98757816666667,8.958034,9.029619
2015-12-14 19:00:00,2015,Dec,2015-2016,1,,2,9.111482,9.002737,9.01127075,8.951105,9.111482
2015-12-14 20:00:00,2015,Dec,2015-2016,1,,2,9.061811,9.0964015,9.09725583333333,9.061811,9.126833
2015-12-14 21:00:00,2015,Dec,2015-2016,1,,2,9.097672,9.0797845,9.07981508333333,9.064697,9.097672
2015-12-14 22:00:00,2015,Dec,2015-2016,1,,2,8.977901,8.981176,9.01276058333333,8.957318,9.09484
2015-12-14 23:00:00,2015,Dec,2015-2016,1,,2,8.905347,8.9319655,8.92592075,8.840544,9.018353
2015-12-15 00:00:00,2015,Dec,2015-2016,1,,2,8.89427,8.925104,8.9228145,8.89427,8.93645
2015-12-15 01:00:00,2015,Dec,2015-2016,1,,2,8.847263,8.8449815,8.84829025,8.837805,8.864408
2015-12-15 02:00:00,2015,Dec,2015-2016,1,,2,8.935894,8.954677,8.95332133333333,8.897624,8.990646
2015-12-15 03:00:00,2015,Dec,2015-2016,1,,2,8.969495,8.9356445,8.93840891666667,8.929885,8.969495
2015-12-15 04:00:00,2015,Dec,2015-2016,1,,2,9.112777,8.9923575,9.03092283333333,8.98298,9.11908
2015-12-15 05:00:00,2015,Dec,2015-2016,1,,2,9.096043,9.107288,9.10648433333333,9.096043,9.112345
2015-12-15 06:00:00,2015,Dec,2015-2016,1,,2,9.135921,9.132277,9.12982475,9.10372,9.135973
2015-12-15 07:00:00,2015,Dec,2015-2016,1,,2,9.148416,9.12983,9.12108241666667,9.085294,9.148416
2015-12-15 08:00:00,2015,Dec,2015-2016,1,,2,9.130636,9.1474645,9.14528333333333,9.130636,9.152822
2015-12-15 09:00:00,2015,Dec,2015-2016,1,,2,9.119416,9.1514125,9.1517225,9.119416,9.177141
2015-12-15 10:00:00,2015,Dec,2015-2016,1,,2,9.132677,9.141486,9.130782,9.096307,9.151822
2015-12-15 11:00:00,2015,Dec,2015-2016,1,,2,9.09804,9.081579,9.08667683333333,9.07129,9.116106
2015-12-15 12:00:00,2015,Dec,2015-2016,1,,2,9.084146,9.094618,9.09636808333333,9.084146,9.11415
2015-12-15 13:00:00,2015,Dec,2015-2016,1,,2,9.135756,9.127026,9.12187108333333,9.087423,9.136108
2015-12-15 14:00:00,2015,Dec,2015-2016,1,,2,9.132221,9.101095,9.1035835,9.07521,9.132803
2015-12-15 15:00:00,2015,Dec,2015-2016,1,,2,9.124788,9.128511,9.12813675,9.124788,9.130179
2015-12-15 16:00:00,2015,Dec,2015-2016,1,,2,9.156885,9.1256075,9.13532333333333,9.120441,9.156885
2015-12-15 17:00:00,2015,Dec,2015-2016,1,,2,9.163523,9.160253,9.16052875,9.15731,9.163523
2015-12-15 18:00:00,2015,Dec,2015-2016,1,,2,9.138262,9.154297,9.15319558333333,9.138262,9.163452
2015-12-15 19:00:00,2015,Dec,2015-2016,1,,2,9.075745,9.1012465,9.10038283333333,9.072103,9.135668
2015-12-15 20:00:00,2015,Dec,2015-2016,1,,2,9.123345,9.1267385,9.12129816666667,9.099482,9.130482
2015-12-15 21:00:00,2015,Dec,2015-2016,1,,2,9.134873,9.1369955,9.13491716666667,9.113918,9.151945
2015-12-15 22:00:00,2015,Dec,2015-2016,1,,2,9.123685,9.120748,9.11224433333333,9.086148,9.127363
2015-12-15 23:00:00,2015,Dec,2015-2016,1,,2,9.117163,9.120189,9.11847691666667,9.096453,9.135224
2015-12-16 00:00:00,2015,Dec,2015-2016,1,,2,9.081015,9.0981965,9.0973195,9.080203,9.113887
2015-12-16 01:00:00,2015,Dec,2015-2016,1,,2,9.120483,9.0717265,9.08077108333333,9.048188,9.12526
2015-12-16 02:00:00,2015,Dec,2015-2016,1,,2,9.103024,9.0981455,9.0974315,9.084432,9.114656
2015-12-16 03:00:00,2015,Dec,2015-2016,1,,2,9.006127,9.104633,9.09036816666667,9.006127,9.115764
2015-12-16 04:00:00,2015,Dec,2015-2016,1,,2,9.083349,9.074931,9.07355366666667,9.017203,9.108447
2015-12-16 05:00:00,2015,Dec,2015-2016,1,,2,9.145551,9.1316925,9.12461575,9.099258,9.145551
2015-12-16 06:00:00,2015,Dec,2015-2016,1,,2,9.135764,9.1500465,9.14814333333333,9.135764,9.156267
2015-12-16 07:00:00,2015,Dec,2015-2016,1,,2,9.164425,9.1594735,9.15638833333333,9.139492,9.164494
2015-12-16 08:00:00,2015,Dec,2015-2016,1,,2,9.137988,9.149154,9.14992291666667,9.137988,9.162922
2015-12-16 09:00:00,2015,Dec,2015-2016,1,,2,9.170491,9.1697075,9.16393116666667,9.137988,9.171507
2015-12-16 10:00:00,2015,Dec,2015-2016,1,,2,9.150677,9.1685455,9.16472825,9.150677,9.17076
2015-12-16 11:00:00,2015,Dec,2015-2016,1,,2,9.171432,9.1701795,9.16314516666666,9.145142,9.173034
2015-12-16 12:00:00,2015,Dec,2015-2016,1,,2,9.161484,9.1667725,9.165129,9.155336,9.17108
2015-12-16 13:00:00,2015,Dec,2015-2016,1,,2,9.14141,9.147072,9.15010533333333,9.137587,9.167314
2015-12-16 14:00:00,2015,Dec,2015-2016,1,,2,9.157075,9.1510305,9.15016975,9.141479,9.158025
2015-12-16 15:00:00,2015,Dec,2015-2016,1,,2,9.129889,9.1452935,9.14387708333333,9.129889,9.154428
2015-12-16 16:00:00,2015,Dec,2015-2016,1,,2,9.15239,9.152998,9.14744558333333,9.127971,9.15769
2015-12-16 17:00:00,2015,Dec,2015-2016,1,,2,9.15585,9.154603,9.15462608333333,9.153502,9.15585
2015-12-16 18:00:00,2015,Dec,2015-2016,1,,2,9.145044,9.1571065,9.15517558333333,9.145044,9.158462
2015-12-16 19:00:00,2015,Dec,2015-2016,1,,2,9.154516,9.1533475,9.15273041666667,9.141341,9.155658
2015-12-16 20:00:00,2015,Dec,2015-2016,1,,2,9.141207,9.145563,9.14611591666667,9.141207,9.152662
2015-12-16 21:00:00,2015,Dec,2015-2016,1,,2,9.14769,9.1379685,9.13693208333333,9.112722,9.149248
2015-12-16 22:00:00,2015,Dec,2015-2016,1,,2,9.152255,9.1509565,9.15022116666667,9.144129,9.154684
2015-12-16 23:00:00,2015,Dec,2015-2016,1,,2,9.156271,9.146879,9.14505866666667,9.131211,9.156271
2015-12-17 00:00:00,2015,Dec,2015-2016,1,,2,9.122588,9.1383015,9.141055,9.122588,9.15531
2015-12-17 01:00:00,2015,Dec,2015-2016,1,,2,9.108308,9.1068645,9.10040866666667,9.05886,9.119507
2015-12-17 02:00:00,2015,Dec,2015-2016,1,,2,9.109124,9.1126905,9.1126125,9.106323,9.118243
2015-12-17 03:00:00,2015,Dec,2015-2016,1,,2,9.101483,9.104376,9.10475716666667,9.101483,9.110806
2015-12-17 04:00:00,2015,Dec,2015-2016,1,,2,9.092112,9.080795,9.07294733333333,9.031921,9.098612
2015-12-17 05:00:00,2015,Dec,2015-2016,1,,2,9.120483,9.093737,9.10591275,9.076352,9.13599
2015-12-17 06:00:00,2015,Dec,2015-2016,1,,2,9.064061,9.078164,9.08052966666667,9.064061,9.113461
2015-12-17 07:00:00,2015,Dec,2015-2016,1,,2,9.089087,9.077762,9.0787565,9.068873,9.089087
2015-12-17 08:00:00,2015,Dec,2015-2016,1,,2,9.139994,9.120033,9.12141175,9.104482,9.140306
2015-12-17 09:00:00,2015,Dec,2015-2016,1,,2,9.143251,9.110146,9.11264225,9.082777,9.143251
2015-12-17 10:00:00,2015,Dec,2015-2016,1,,2,9.153874,9.158626,9.1579515,9.152882,9.159861
2015-12-17 11:00:00,2015,Dec,2015-2016,1,,2,9.142243,9.148958,9.14966166666667,9.141974,9.157334
2015-12-17 12:00:00,2015,Dec,2015-2016,1,,2,9.158334,9.174851,9.17347358333333,9.158334,9.182064
2015-12-17 13:00:00,2015,Dec,2015-2016,1,,2,9.154128,9.1463785,9.14738616666667,9.14239,9.1557
2015-12-17 14:00:00,2015,Dec,2015-2016,1,,2,9.165391,9.166572,9.16575216666667,9.157315,9.169755
2015-12-17 15:00:00,2015,Dec,2015-2016,1,,2,9.144446,9.1525945,9.15284033333333,9.144446,9.161429
2015-12-17 16:00:00,2015,Dec,2015-2016,1,,2,9.13136,9.1371555,9.13754616666666,9.13136,9.14211
2015-12-17 17:00:00,2015,Dec,2015-2016,1,,2,9.144319,9.146611,9.14468816666667,9.131253,9.15025
2015-12-17 18:00:00,2015,Dec,2015-2016,1,,2,9.153125,9.1524315,9.15023275,9.143495,9.155602
2015-12-17 19:00:00,2015,Dec,2015-2016,1,,2,9.151138,9.153112,9.15298933333333,9.150731,9.156317
2015-12-17 20:00:00,2015,Dec,2015-2016,1,,2,9.09712,9.1428605,9.13472425,9.09712,9.150073
2015-12-17 21:00:00,2015,Dec,2015-2016,1,,2,9.128573,9.1020395,9.09250766666667,9.028656,9.128573
2015-12-17 22:00:00,2015,Dec,2015-2016,1,,2,9.139571,9.139024,9.13752616666667,9.13014,9.142645
2015-12-17 23:00:00,2015,Dec,2015-2016,1,,2,9.098777,9.1204315,9.11754108333333,9.082864,9.139862
2015-12-18 00:00:00,2015,Dec,2015-2016,1,,2,9.102358,9.130531,9.12158508333333,9.072498,9.143545
2015-12-18 01:00:00,2015,Dec,2015-2016,1,,2,9.10087,9.1415385,9.136635,9.10087,9.159349
2015-12-18 02:00:00,2015,Dec,2015-2016,1,,2,9.101446,9.1119545,9.11108733333333,9.099512,9.128016
2015-12-18 03:00:00,2015,Dec,2015-2016,1,,2,9.034968,9.042585,9.06186383333334,9.027205,9.103154
2015-12-18 04:00:00,2015,Dec,2015-2016,1,,2,9.132653,9.119851,9.10974141666667,9.059365,9.133348
2015-12-18 05:00:00,2015,Dec,2015-2016,1,,2,9.130686,9.131945,9.13365175,9.123532,9.142538
2015-12-18 06:00:00,2015,Dec,2015-2016,1,,2,9.115849,9.1069895,9.10691941666667,9.087655,9.126533
2015-12-18 07:00:00,2015,Dec,2015-2016,1,,2,9.05212,9.0921795,9.09391516666667,9.05212,9.121645
2015-12-18 08:00:00,2015,Dec,2015-2016,1,,2,9.062587,9.0743325,9.06923258333333,9.047321,9.07931
2015-12-18 09:00:00,2015,Dec,2015-2016,1,,2,9.123758,9.12127,9.11563691666667,9.06346,9.129493
2015-12-18 10:00:00,2015,Dec,2015-2016,1,,2,9.137475,9.127072,9.12508191666667,9.104989,9.137475
2015-12-18 11:00:00,2015,Dec,2015-2016,1,,2,9.152327,9.153286,9.15089466666667,9.137028,9.155691
2015-12-18 12:00:00,2015,Dec,2015-2016,1,,2,9.168604,9.1494125,9.15143041666667,9.132283,9.168604
2015-12-18 13:00:00,2015,Dec,2015-2016,1,,2,9.18442,9.1850795,9.18385458333333,9.177335,9.185688
2015-12-18 14:00:00,2015,Dec,2015-2016,1,,2,9.163001,9.1668945,9.16998566666667,9.163001,9.184355
2015-12-18 15:00:00,2015,Dec,2015-2016,1,,2,9.155994,9.1534665,9.15173691666667,9.141931,9.155994
2015-12-18 16:00:00,2015,Dec,2015-2016,1,,2,9.140239,9.153406,9.15128958333333,9.140239,9.157412
2015-12-18 17:00:00,2015,Dec,2015-2016,1,,2,9.129668,9.13473,9.13467708333333,9.129668,9.139395
2015-12-18 18:00:00,2015,Dec,2015-2016,1,,2,9.136454,9.125891,9.11361858333333,9.039917,9.146476
2015-12-18 19:00:00,2015,Dec,2015-2016,1,,2,9.140008,9.138014,9.13562016666667,9.11168,9.154997
2015-12-18 20:00:00,2015,Dec,2015-2016,1,,2,9.140168,9.1383105,9.13406791666667,9.11055,9.143467
2015-12-18 21:00:00,2015,Dec,2015-2016,1,,2,9.067538,9.1310845,9.11665791666667,9.067538,9.13785
2015-12-18 22:00:00,2015,Dec,2015-2016,1,,2,9.150392,9.1195245,9.11778816666667,9.094013,9.150392
2015-12-18 23:00:00,2015,Dec,2015-2016,1,,2,9.161489,9.1526955,9.14847475,9.128928,9.161489
2015-12-19 00:00:00,2015,Dec,2015-2016,1,,2,9.142787,9.1656295,9.16282483333333,9.142787,9.170246
2015-12-19 01:00:00,2015,Dec,2015-2016,1,,2,9.154474,9.15833,9.14738,9.102326,9.164923
2015-12-19 02:00:00,2015,Dec,2015-2016,1,,2,9.118703,9.148361,9.14475425,9.095282,9.171899
2015-12-19 03:00:00,2015,Dec,2015-2016,1,,2,9.146757,9.1357515,9.13407933333333,9.112917,9.146894
2015-12-19 04:00:00,2015,Dec,2015-2016,1,,2,9.116137,9.145514,9.140303,9.109843,9.150075
2015-12-19 05:00:00,2015,Dec,2015-2016,1,,2,9.112132,9.0897905,9.08923391666667,9.054141,9.117397
2015-12-19 06:00:00,2015,Dec,2015-2016,1,,2,9.127901,9.136995,9.1311195,9.10861,9.143385
2015-12-19 07:00:00,2015,Dec,2015-2016,1,,2,9.123948,9.0768185,9.08218183333333,9.038774,9.124044
2015-12-19 08:00:00,2015,Dec,2015-2016,1,,2,9.098159,9.154526,9.14808675,9.098159,9.155864
2015-12-19 09:00:00,2015,Dec,2015-2016,1,,2,8.579581,8.89647,8.89708466666666,8.579581,9.068417
2015-12-19 10:00:00,2015,Dec,2015-2016,1,,2,8.691878,8.524336,8.5561965,8.380312,8.908053
2015-12-19 11:00:00,2015,Dec,2015-2016,1,,2,8.87972,8.9543335,8.89591741666666,8.557746,9.02443
2015-12-19 12:00:00,2015,Dec,2015-2016,1,,2,8.887701,8.8390015,8.8014475,8.573275,8.891333
2015-12-19 13:00:00,2015,Dec,2015-2016,1,,2,8.690528,8.812504,8.81736333333333,8.690528,8.980031
2015-12-19 14:00:00,2015,Dec,2015-2016,1,,2,8.878736,8.903089,8.87015058333333,8.57719,9.134551
2015-12-19 15:00:00,2015,Dec,2015-2016,1,,2,8.452402,8.629766,8.66273766666667,8.452402,8.894332
2015-12-19 16:00:00,2015,Dec,2015-2016,1,,2,8.386394,8.3397565,8.35495616666667,8.283007,8.474077
2015-12-19 17:00:00,2015,Dec,2015-2016,1,,2,8.468143,8.351421,8.36074708333333,8.291203,8.468143
2015-12-19 18:00:00,2015,Dec,2015-2016,1,,2,8.412532,8.4135985,8.43100291666667,8.390999,8.504362
2015-12-19 19:00:00,2015,Dec,2015-2016,1,,2,8.414488,8.392414,8.39631041666667,8.386211,8.414488
2015-12-19 20:00:00,2015,Dec,2015-2016,1,,2,8.320518,8.389416,8.38485333333333,8.320518,8.410769
2015-12-19 21:00:00,2015,Dec,2015-2016,1,,2,8.189008,8.211325,8.2214945,8.175089,8.3143
2015-12-19 22:00:00,2015,Dec,2015-2016,1,,2,7.970265,8.130721,8.10414425,7.970265,8.208988
2015-12-19 23:00:00,2015,Dec,2015-2016,1,,2,7.811049,7.8363425,7.83382633333333,7.701875,7.928122
2015-12-20 00:00:00,2015,Dec,2015-2016,1,,2,7.729555,7.652529,7.66376366666667,7.611257,7.764763
2015-12-20 01:00:00,2015,Dec,2015-2016,1,,2,7.82181,7.8230625,7.79571591666667,7.619377,7.912348
2015-12-20 02:00:00,2015,Dec,2015-2016,1,,2,8.000285,8.0009325,8.00918291666667,7.842132,8.10825
2015-12-20 03:00:00,2015,Dec,2015-2016,1,,2,8.067345,8.0667115,8.05353283333333,7.997225,8.08644
2015-12-20 04:00:00,2015,Dec,2015-2016,1,,2,8.421338,8.0571095,8.18188766666667,8.036291,8.421338
2015-12-20 05:00:00,2015,Dec,2015-2016,1,,2,8.335013,8.419286,8.42268666666667,8.32394,8.52024
2015-12-20 06:00:00,2015,Dec,2015-2016,1,,2,8.370078,8.376681,8.39363916666666,8.334741,8.517674
2015-12-20 07:00:00,2015,Dec,2015-2016,1,,2,8.391762,8.478175,8.43977558333333,8.29991,8.520978
